"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,148.662280277399,187.107336959442,183.761692208268,72.5616014686851,276.145379499727,121.650567977941,213.647902143155,214.382775351558,276.76759872878,230.702914929226,97.9201180860517,296.529919470912,69.5965839256274,231.778189339972,296.481372847982,250.183006447665,177.97987657754,192.129583553667,101.371636501146,225.233471064784,182.844008628224,102.504942021025,152.897753342555,281.285139383137,249.278220884172,322.570408944761,242.446915547119,106.11465819448,277.772436450404,160.862162508236,161.447692285318,136.056355479509,232.618566292045,78.5099454844432,109.85287341748,277.819534106318,92.1863457537132,296.574340920973,168.798254663547,291.974279206992,291.40318680434,351.513129527536,170.171160064128,279.84012302104,209.750715289588,243.252384486878,189.03398140391,314.740131910365,116.527039194174,179.763267114304
"6",6,278.950677913529,90.2432385681164,115.078987490162,49.0328058632854,145.456096812521,185.014079172887,317.908143240381,300.87100980317,232.557542383612,110.388573527786,263.61307133035,259.046326569804,153.718109634802,289.669887316141,248.325987722547,330.383996522614,117.128281782904,322.42397567419,287.03033211164,218.361479983097,307.274301332353,43.66591779531,138.053095957827,113.636713961701,289.41576969952,144.406377698291,199.06788260165,168.750168714289,238.474840545378,110.325061523366,157.735258157399,135.371350947291,171.025111462774,47.185982989781,135.63569563753,332.742346972537,278.34532609974,190.660289810888,147.999055174305,339.013980064315,328.830783002446,242.03002827625,268.037275066095,331.983147869161,157.939965566001,94.4988926130918,303.903022438125,160.943264413402,231.794539870779,165.714388028136
"7",7,211.619603058817,134.900893377695,101.261638180963,100.293122658171,256.404652103202,78.9665525795167,182.035038417972,181.600901578953,306.536594009456,111.412584662856,331.586571465424,197.341375950183,206.160132088099,256.907363847796,257.875054382291,296.740563497189,198.148890552345,138.290330017081,160.564553861123,322.770137454958,235.30530407644,53.6537535103016,159.14361334862,111.727599079219,178.411378440692,189.973529191799,119.823044898057,248.620291016946,300.679035999022,49.3282388843091,145.945825701029,65.1196870034385,87.5065286262034,77.671096649371,305.866558185095,139.992199496054,295.472813998841,111.221873664223,272.164379107165,144.097668236042,119.05580163917,133.447711918071,132.311882176459,293.391857708859,216.025848542746,87.1171947508447,242.624687284564,58.1701680810279,89.1255856300003,173.799831115932
"8",8,124.646602332049,166.705604805776,138.047066430695,57.2460744549133,149.581417508133,66.052405902603,164.09171339499,192.556493604406,148.623959216325,132.753960565095,168.285050944149,243.156918535086,106.844981441361,217.491558230451,236.854079910094,240.652530458795,82.7546024148376,119.202825027446,105.683687251077,282.681689127344,175.703332861713,42.0971436773589,75.569309502701,111.813810707986,131.194667039024,318.471781394493,119.145861610971,117.395913569017,189.461687965289,27.2519377208218,169.623248462636,101.948930090537,59.6471417436941,72.9680188697952,119.20357962296,78.8670811685904,104.677781344897,116.068047275888,211.425766687175,171.161162338569,156.133843657197,108.97509439516,166.289119888901,235.172547858849,191.689217136048,164.779820783978,80.079169740736,72.9082449275858,30.0355325734026,146.656894816421
"9",9,127.676895397919,120.019875444286,157.553636295493,22.3067615596803,45.0053258860694,113.683811648255,258.967711189496,85.9548334450637,51.1774814418706,63.0788181248377,209.440085929082,176.264822498031,138.788180070455,115.283633609157,240.564124558666,130.690768943464,60.1458404090666,152.068805086423,63.933439228318,126.820563525821,103.460469957097,19.2906034191856,50.2206885632517,47.1317272024914,260.72075748937,107.566111437599,197.189410842801,202.852035935504,204.548675714496,74.6731212525818,136.543447029302,48.3314477450296,66.7729575957495,38.0513114386479,108.977305586962,120.138606830208,108.566798904178,76.4318348315196,150.828861028116,158.778230791425,292.054344292067,61.78901151883,229.187804641692,209.760199066059,129.330416821065,66.4781738163838,151.504041158455,87.9474914805785,92.9130383150892,92.615538219318
"10",10,160.202193271171,189.146937778008,73.3264815718166,44.6887413991133,40.820960309868,78.643419494639,138.174092542344,86.0987319327612,94.5189226092949,47.4894195136508,166.960490794774,114.977138032422,128.611303028008,142.288300110432,158.116409074625,77.4235620573952,147.468164727758,125.036655422361,146.994305238952,239.05507896359,145.494856181489,14.4895611182755,111.211694794166,38.0809369893596,137.708049418118,42.7536822824463,105.914460951169,207.485210294225,161.275986951174,33.1226063065459,61.5749392798035,62.8748508904873,35.8786992976714,54.3172876801852,239.681908752047,99.4194016855599,239.555957927256,94.2375159080088,149.306419922392,127.688619369637,189.414947651072,77.5575237667776,166.924566211136,271.346509018158,289.553110095078,24.8230758762326,85.1264910878327,54.2740391225406,60.5297220464299,128.54202968636
"11",11,94.7688115783399,123.742968764621,96.5886038952192,43.1841523570107,61.4304644777569,52.4958767347001,96.8721043938863,111.829546231232,49.9278294174638,50.3652575873994,72.3110698616291,172.748936426033,99.4522374215137,56.4490516902274,176.443734654641,82.1925641343836,52.5348669832008,172.253658589909,57.8500048170295,247.697161515694,66.5495212982156,29.8924728813357,83.3491905455216,101.011499113479,105.623851640182,215.564630904901,51.4441616832719,147.914515317148,264.395689149108,7.08733504800079,124.561567283518,51.6704206086721,49.9598632852407,42.7814913358528,143.030272136822,52.5188781337279,120.618848735191,80.9211347829406,86.4047127573418,95.324093539045,117.370528323719,74.983824148632,58.1699521970802,146.917604105686,193.788604854657,54.3211856188001,53.0277085973624,29.8072780892088,18.4539695705415,62.9911235994888
"12",12,164.956887452837,101.821294919085,122.535899364667,23.659428292439,41.6948693375694,78.5371901642022,76.4506301898947,97.0487798985186,20.1848097969904,25.9906846900267,34.5198666941973,129.582068634824,107.63881759785,87.7661606688373,177.65209258215,112.670438397619,44.9949035091412,114.622900250045,53.5492478297193,72.1320206328489,56.7687486660886,14.0943761185042,58.8942508888572,58.4476486039225,193.24366962664,70.299640845161,131.428387795234,91.2050052034702,211.174198961348,19.3372421524238,82.1256086539513,29.4730613983036,19.3498003972754,31.7685513381122,110.93420770196,88.9153202176623,36.8107972580944,57.9787701634762,134.090075390406,47.4834781266549,191.454464276604,28.8235812669466,222.24640177522,208.155499210744,151.382305709992,52.8247534861131,74.6847554159048,31.5843527544653,20.8123610548817,67.1904768621465
"13",13,237.227260265587,63.3761579483952,57.8948041836153,36.9642197510229,16.9455112490429,47.479721588023,109.358129914809,47.3061996784366,16.1956218622926,25.9579556035846,48.0519139362211,43.0845855345153,47.2062150432449,121.578772162314,74.6391419212455,92.3834245549779,73.5555357471211,69.3989244160113,80.3668049853243,110.178573569567,134.802189022713,4.70563152173169,62.3066501155803,23.652571146741,74.540260721608,42.4512837123293,57.5443124037576,57.1956168306211,156.98565782791,31.1148560631809,29.1499052264299,31.5851007133265,9.26518427839204,20.092263580055,82.1087411431556,74.9901413953031,74.9214367214997,48.3066362476753,136.344655645999,24.1589648980258,119.344821735099,21.1627215256746,180.657127090044,83.8558648728685,218.236252360495,18.0427428972622,39.8203339243445,27.3505754905534,40.239668653925,86.1352826690452
"14",14,141.481721829827,86.812319241767,47.1670718167139,24.3349558871755,42.7427421269527,68.5516879693403,70.5411559749867,30.7609807194682,18.4158313090154,50.4500126404685,63.5805201414473,23.0515381700185,44.0763555600826,60.9433744689624,124.896598209261,40.6800855317993,39.3762916518454,35.4826022957587,48.062034719361,97.8423966687395,66.3665897585986,22.3863308038869,35.6771761030489,26.8187490472015,35.3396141846147,223.849961835315,14.7191000974784,109.104555335887,179.510250673056,9.74135559134902,76.0482870016674,16.6610040040663,8.08627156438122,39.2032368245748,91.2162242116961,31.4914901102177,83.5445865447544,43.6043742412099,85.2433573837207,61.8209448844063,79.4969553011133,49.4724331293274,58.7095419340466,51.5000819838768,185.154535224315,33.544725511291,29.0886983275024,29.5417034366106,13.1880474069402,45.7367014533654
"15",15,235.260256263397,111.846553627204,113.282327655803,21.9924590378471,22.5740933429815,79.6147120709408,62.9909057477069,83.0070310013806,8.47797741410768,24.0328352220972,33.7597128604322,43.7033474200641,74.0597288567166,32.9916505756733,147.582821934181,56.9352029390128,19.7026181085385,77.2728573577567,27.6084296575488,71.2052508475606,44.4491298722892,7.79089696288115,29.4751021430437,44.676918881474,44.4659021765876,93.4309484932326,58.0471829833091,86.7563443850589,154.102706369075,9.52909272420398,67.7564898439103,15.126635519514,9.8247217156274,14.4121587900838,78.4269405654239,83.6805048629978,34.4274544675909,35.9788068268076,69.6941934094876,61.1135773528531,58.3320902752662,33.0055746892156,71.9283998230305,30.5862412260732,124.266923887196,32.3845927982848,41.9260964816044,26.0199133170565,9.11009200493492,25.9558410505298
"16",16,269.454456913793,67.5895097864209,73.8182769654893,21.8068498476321,11.617913921524,42.9120705356127,65.6149034450995,55.6546437946424,10.138120244281,22.3093252506685,28.7109705425596,33.3925326155129,55.6137315897602,62.882075218127,48.1780051394702,61.4833319599975,40.6103628968356,56.1630912813952,61.7444394082868,56.3155554316447,111.425332591549,4.7585102252208,19.719569810215,15.9539623263176,73.6623633731222,28.570235362343,37.4601592470772,42.4934097926701,127.659380407343,25.0928746849322,29.4574518343546,8.61794809909715,6.18286750120551,11.8923772468764,80.0333535304339,47.8505824873871,50.5129267716212,28.875981458508,82.626987012809,37.1211779442042,71.9480722211039,17.7568097837601,105.124657238217,40.4846644961181,179.977503865789,13.2282134634033,26.6049086580832,27.1913725082421,19.872038439449,36.9492454255899
"17",17,113.431021521319,62.4932960136849,57.9044455507836,8.81670328577952,24.8665513003405,48.3966089712017,63.7302517926078,17.8250126890752,13.7785288512621,37.0076686290062,59.7800802099024,24.6997074596166,40.985616236383,23.1801816392258,35.9385385829238,23.9907777068657,32.019694047681,15.3199019868665,25.8856435865752,37.945327121819,77.4514037853912,14.1432621321411,25.5334732006836,17.2659843988834,33.9892513946048,142.161361743515,18.2835086760967,25.7719302042983,123.771332409128,14.0523789848019,40.7089476910862,9.36972072495912,4.74727385457862,36.5242017655498,87.8587650761188,21.6155103027053,24.6854454693829,23.0363829999147,84.6959982362953,24.6885127023725,74.184335377809,26.9034154506074,61.4817580050762,34.901342633819,186.045025340149,16.3824255236864,9.86081932920635,15.2768223926206,10.6143106816063,29.0739644756885
