"","year","sc1.0","sc2.1","sc2.2","sc2.3","sc3.1","sc3.2","sc4.1","sc4.2","sc5.1","sc5.2","A","B","C","D","E","F"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,223.708342158053,346.769507482027,291.483530376801,475.555769880064,225.636789315174,226.173372585972,278.429426110149,326.375413287158,456.876694841712,669.815018899014,350.83009502009,394.443990310731,586.747998584213,276.261223797356,459.266177544521,549.146696833215
"6",6,229.11916476313,347.253019791911,290.491250155391,476.664430089662,226.960624845092,226.97393695083,275.141254540538,324.452687157305,455.342418678263,677.89110024145,350.542728713141,394.691015935988,575.322835494607,277.310468531901,464.976050122932,549.016890983868
"7",7,228.413212976385,364.787771941215,289.657768583743,497.613044734224,224.242817511071,228.458524977238,271.364415375681,325.703081253184,445.379727199088,688.936897505078,390.407976936888,395.107263801279,586.859750103001,278.192531672454,458.740330110988,550.709980087568
"8",8,162.40677506694,377.671378030602,271.17900272567,565.591613041381,156.199830792223,188.211985629956,244.783547132258,336.439268670354,579.186468323002,1115.33855599873,434.198378887542,444.58300608427,1049.56359720475,228.848295979216,624.450682351572,868.534825785587
"9",9,169.305930722761,388.73064585895,276.796371560326,674.347595525504,157.09966044327,152.550624008032,246.124059904396,340.52073070773,682.129933834555,1444.10746745199,515.831022760054,493.178174867076,1067.43399732962,232.746501715619,666.402203663223,988.245345551759
"10",10,169.141193145854,409.981086506726,260.732374042503,702.524677863622,156.945568585775,154.068327115206,245.136167966491,345.5280401843,688.094815464542,1461.89701701046,562.279218676237,492.722944048469,1062.39922194294,240.867973578671,646.739756440941,1001.45958611736
"11",11,124.406405387184,419.173817018513,255.610151558246,775.951345967936,110.568925374751,135.984922544608,221.134816080408,352.453553403801,767.706808838892,1781.30878306412,609.608052225479,527.515362355532,1579.35667932754,191.230657818755,785.809590858816,1246.9580531318
"12",12,126.487051666475,432.483907662661,262.22876259629,881.287561121514,110.805020515875,109.339602777683,218.303557687354,356.37342027,894.465829645122,2317.75477287737,689.575239061122,583.333147162985,1589.12952431244,196.985553197911,815.382302565253,1473.00679896177
"13",13,126.574048757385,450.289621825664,240.883009411714,971.295200321232,112.133790952566,100.305304404233,219.457964727619,360.201587143585,957.341448815774,2589.67695359114,765.051580362003,616.689642207398,1609.51245294468,205.927846611515,826.018282603138,1509.39407326918
"14",14,91.8699299039082,462.617949405738,238.529994973405,1012.5170359926,80.5082200691628,93.216379617714,197.122407218295,370.21684832819,990.876050279524,2887.21790383005,814.653919642348,642.104451592156,2214.32072856285,163.986347536365,929.627663316717,1741.28381062371
"15",15,90.8761093813224,471.489754358085,241.170210069195,1088.43250767737,75.6492702295163,77.6286986731422,197.351368307784,379.894052932143,1100.4450662869,3581.49198285847,893.761576510116,693.264274238951,2248.90506945662,167.500223923603,948.858280972592,2035.76995623484
"16",16,90.8151503489507,480.911702618322,222.855176557852,1163.50050909678,80.2965551152909,67.3100310137267,198.550882425226,383.999999872044,1199.05927552784,4215.48624531048,965.804609753953,733.663923394859,2287.81418430775,176.516386748741,977.082321416572,2132.18380643962
"17",17,68.8458517192397,507.305314663951,231.867912078583,1204.26786918438,55.6829540590043,61.8958209899598,175.88559745241,389.391810364049,1226.82552688119,4685.16774608044,1029.92831512298,755.141521299536,3054.18848897417,136.272992647099,1052.23001957709,2306.90469175076
"18",18,66.1786999599945,516.835224447044,222.568500339801,1257.55683155862,52.8349352573367,54.8509298423407,175.424397542687,400.094617174464,1324.09215191154,5506.11455438192,1076.40407636349,797.165350974128,3047.09389892014,141.40426226585,1104.1290931135,2650.37531053363
"19",19,63.6050081939209,528.599729067885,205.229534045961,1298.31850875921,54.8065406392789,47.4284837316833,169.973917157959,403.649436652135,1451.4684624496,6650.27639527165,1127.12332989088,835.530824584018,3145.25282361166,147.572339244184,1175.43583842619,2894.83910556859
"20",20,51.1309924005805,539.8487704257,215.785623254611,1363.05904125762,38.0414757427549,41.2917492550115,158.929506934471,406.410623806648,1506.92829536431,7390.73953623491,1204.44990357837,854.301110126729,4129.80743277291,117.971723559248,1214.83416559981,3129.63776349119
"21",21,47.5318128532292,554.348876441206,205.869500254267,1409.87072154297,38.5677780946732,37.4305309416477,156.608172319614,413.539960789875,1556.23123697671,8425.87025111149,1255.14706111153,887.813908367253,4228.88987796859,119.976232171639,1304.19329907489,3497.55847684975
"22",22,48.4919821015638,567.70113478006,188.530933609928,1454.20287049357,38.1281700753474,34.2310457504487,153.942838776463,411.805412380534,1633.29973765552,9505.59507278363,1289.02842354713,922.563415020614,4445.6739891495,128.429885569796,1392.1117241211,3841.94798142134
"23",23,39.6716524883042,576.607140409962,195.177612315085,1489.5499963242,25.6912061053756,29.3721167103606,141.193198068432,419.524637786997,1716.61700974678,10801.0564921087,1332.83759266435,940.556375535039,5378.18749824752,97.8489378348331,1385.33546974869,4148.91441745519
"24",24,37.3387851072944,581.121883899678,190.733073175329,1536.0537154481,26.0138351910614,26.2659203341333,137.32462348202,428.713394312265,1795.17997055649,12133.4404696583,1394.11886372039,956.371715033243,5607.91346391126,103.018477645577,1492.6223605556,4662.00121060359
"25",25,35.8690135855331,579.378686617221,184.287217687686,1571.93454695249,27.4171305354956,24.2259122926099,133.464796416312,427.185898513067,1876.20251555386,13118.6423956615,1438.68596345147,993.257309496546,6023.79282233575,107.326236201238,1563.71853880128,5048.08369806607
"26",26,29.5339347337586,594.921881140237,184.792581050868,1617.32726181765,18.6603810529374,20.7510209124649,125.012593732103,434.628376604438,1927.7291379583,14116.8160939708,1466.59989829597,1013.05488933444,6901.0808113848,80.7777545858135,1581.5420038828,5444.70751200794
"27",27,26.7498393067086,606.537973109582,170.285449797846,1656.54061364553,19.0048289277737,17.9725604233771,117.300858714795,446.482065096896,2036.82565765395,15333.6615361394,1512.2392518774,1018.30218875086,7154.64986809984,84.3216080625345,1727.46105400784,6120.64016777065
