"","year","sc1.0","sc2.1","sc2.2","sc2.3","sc3.1","sc3.2","sc4.1","sc4.2","sc5.1","sc5.2","A","B","C","D","E","F"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,217.946726660389,346.277190622664,286.125142519301,482.055041561716,223.307425334561,224.514044483511,274.331224835622,327.876023929387,456.425882616502,672.992529961482,346.229274494194,397.560950698151,582.937069044817,273.218212172587,464.770876855384,539.965222162682
"6",6,228.346251120183,344.475048325792,290.930019684466,474.699569479667,220.263374513796,231.072389425202,270.065321960417,322.351154314819,455.179052726427,689.672165059805,348.453519356661,399.625875623903,574.125693050363,278.398451108175,455.871545902608,557.502862768037
"7",7,228.301544428456,364.667040137635,290.080422393734,497.773110247436,222.695703007899,231.360604293664,267.550768534383,331.244897827223,442.684466716049,700.276891286371,384.863663632186,395.761794909843,587.721550106393,282.211662551401,470.428889459584,549.05477292157
"8",8,122.959629321856,366.17140952735,238.352607275377,558.488903839552,123.842854380677,184.661023021625,213.618749208976,322.334701146149,541.325125660524,1029.03770460784,398.973027387682,436.307725967386,889.737865909844,196.021374089691,504.333962821574,797.473276172261
"9",9,132.934162452795,372.248508262495,243.357485183313,661.210229999019,125.236872630342,137.72786140383,208.699266054014,324.814954172739,640.042610015401,1338.35469112105,501.287844470624,476.128031988138,944.296257982763,197.634202537879,552.711259906383,924.951190677036
"10",10,136.055597045203,397.691702298342,226.594832542077,682.795649931212,122.639179386371,142.199521732884,216.280804322088,333.699737961224,647.64915492762,1392.11696928495,535.582377555324,478.842176523711,903.279884151981,201.505241710726,514.132592601462,934.494659037343
"11",11,75.5844706893908,400.972148481294,198.871380116247,754.819584236712,73.0146899497889,122.178360763757,174.905115460547,338.118748923198,694.778438473147,1641.55019244,570.656448377423,508.741462079346,1304.4298559247,148.225274098876,569.389287174094,1149.45460937428
"12",12,83.9326302848443,415.88582671115,209.829401780242,851.790136623002,72.188143842116,96.74513376877,170.954562524635,331.975370427256,820.121984923981,2073.24402617569,645.130854653232,544.519931769574,1352.07229111232,145.228988516337,593.359602702813,1373.67207396606
"13",13,82.6554937441805,424.098015849121,192.865466107761,946.31805438973,77.527614447774,86.744293851923,172.141436567105,339.232522874314,880.638869225679,2264.09083348125,720.807200570215,583.024761519015,1364.62788775261,155.089062091658,570.195549105959,1396.05517824316
"14",14,50.8525711440155,439.166759774597,177.517742224969,990.397290183945,44.967504662849,82.5097704148162,145.725274538247,346.997961793678,918.663416065672,2562.12435743369,765.298254955954,603.711708173623,1770.27409376529,106.092601732555,632.779571562742,1554.57976845127
"15",15,53.656093801107,444.508666999427,181.787581245831,1054.56997294812,42.6398156629022,64.9398224133525,142.249236921661,345.625484730243,999.490491749892,3094.56450240633,841.109845108744,659.208367785192,1809.22558322128,108.855252043808,630.486790156724,1846.81660780303
"16",16,51.4484401378959,442.746845410139,169.003886377169,1131.36626929821,49.309516821225,56.8198406112861,141.602586407084,349.081523691217,1105.75474915555,3510.46039137778,912.810359240885,687.405183074069,1855.82074202147,113.965234032508,643.174254219161,1954.61995391105
"17",17,32.9159017818283,462.384764453975,160.226617078977,1159.7340478009,26.6670017185652,52.041618255747,115.361460343824,355.638462896248,1110.06250900297,3905.30477127576,983.513250636636,711.564854259703,2290.65153569723,82.024156786214,652.316090388543,2047.62112397175
"18",18,35.4094929763721,469.367978837854,165.263100447604,1210.41226152038,25.0055364957362,46.9428190792958,122.389052796187,358.246814082982,1183.13265161715,4559.14138185245,1029.67199100905,765.435336590403,2332.86909768042,87.2339878158314,712.468336950595,2336.41272363506
"19",19,29.8952487032237,485.180875093599,145.595249889212,1267.99225077855,27.9456588480004,38.4539931822681,116.211983079009,356.995588950344,1300.70493543293,5412.15451054484,1060.60217150227,811.907691643231,2359.87604239106,84.91780241911,757.894479384166,2544.36647808646
"20",20,21.0439450253535,491.139885745977,138.929319439736,1318.26212779299,16.1023936066968,32.5021488705277,94.3775917905571,371.479393334543,1352.71266998355,6031.56112404226,1139.61076620299,834.172514231711,2871.46712507392,61.1819177091247,727.442220951819,2707.61163280101
"21",21,20.9227451582738,502.473609026936,138.782129155378,1357.53010877498,15.7972138997764,29.0386250036507,96.8974467741806,377.097868348499,1380.13541260791,7212.91021502011,1193.832178481,848.296694415873,2971.902302057,65.0071834279248,824.677076864426,2904.17888873759
"22",22,18.749786078859,516.033249587145,127.871352751347,1399.35897651336,16.3516216370933,26.1206991753957,92.2992490697956,354.368900543971,1435.57912116554,7964.47080421811,1231.31472902143,878.162939504903,3196.52631920614,68.0827272225324,739.535224922793,3263.22308924862
"23",23,12.8386961748445,525.450886370045,120.241391257835,1408.20575132179,10.0939036529672,22.5322909177959,82.4813782838141,371.458862726251,1485.19287182373,9283.77164426549,1276.7956756273,901.819537693323,3587.43787519185,48.5706912134692,776.835733426132,3381.37009534024
"24",24,12.3344085101823,529.883086187131,124.605921246521,1447.01697810253,9.39360741520674,20.3825142632703,81.6642483373165,382.964272691749,1526.67604398471,10728.0488192004,1301.85611775818,913.544421635968,3907.09409416392,49.6694237526769,907.717929242774,3667.52005270471
"25",25,12.2634845107225,541.593952840951,112.272117581182,1461.80507822016,10.3224754810245,18.1765491871054,76.657484021273,377.903628558983,1564.81359183088,12295.2539310972,1317.13528257358,959.500533583147,4106.79311287977,52.0812039063704,838.182991746869,4143.37691573842
"26",26,7.99026712374016,541.270939740362,103.75739024872,1539.7323390028,6.08434231484453,14.7450900887847,69.868038744994,386.350621724535,1586.85517567656,13878.5793541717,1374.57833285276,975.923398297491,4782.62920023546,37.4877346109558,858.608565103056,4391.68378266189
"27",27,8.09552597378935,553.927822621334,100.802773015079,1552.17417604887,5.79991712610955,13.0629519097216,67.1355854570211,393.588667849955,1720.67238028395,16403.9246103481,1418.44147069485,987.297685641843,4818.59079605796,38.360718338269,941.717397651783,4766.47171068705
