"","year","sc1.0","sc2.1","sc2.2","sc2.3","sc3.1","sc3.2","sc4.1","sc4.2","sc5.1","sc5.2","A","B","C","D","E","F"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,108.809972930836,74.7233024091074,109.426917100804,81.4797572089831,107.717633020149,78.2605690476863,105.244282115077,78.1436574214133,156.370927303978,236.076894345982,109.600509705602,79.9505056854512,221.464008161396,108.001245664414,219.944628210099,168.029699743813
"6",6,108.321079976925,76.2033838796855,110.376794847653,81.7394541354563,110.194657486371,78.148114396854,103.792025780479,79.2606858873132,156.892428067721,230.443691095603,112.665831846508,81.9736143490663,220.404698693576,109.573082261824,222.882245392744,171.297617452038
"7",7,113.010338875223,91.4026451671041,109.212119487917,88.7534909575796,109.35110928153,77.6921942800694,103.547906013786,78.7230062415792,157.057567100039,233.604003549756,116.983212248373,79.8646248930608,220.85425755253,112.5386537132,217.737653290975,172.691297360881
"8",8,129.239517365428,115.335601984318,159.933104230578,124.031316462672,117.439703009003,73.0021279531336,140.783211725346,104.462344279517,267.024999718143,533.438199285031,172.538117414561,121.797791363312,626.279368683528,144.747237216058,462.946947054181,402.75957268871
"9",9,129.371789269759,129.441922429645,159.351442849879,174.485216241052,117.188896899649,76.6589996884465,147.094541146281,121.100259177149,334.637551404217,672.817103125551,186.408248814869,144.756577130791,609.159626441614,146.118635894795,501.370499188431,444.397387919179
"10",10,131.386433069761,142.23188561038,149.45823878308,183.815946539472,117.730425175534,76.1742535303163,142.367803436927,120.886644638073,349.413455262843,673.514410164845,213.653181958896,148.097672826742,604.741444743115,150.062767911675,487.062502601504,458.549661283119
"11",11,131.10568613503,151.70270799037,192.585081386312,217.985238020823,113.086221944115,68.2463791879999,161.76768274034,128.387390475206,398.450461219517,895.841621342483,228.718261190492,169.515287973849,1055.78535655649,154.412868391611,683.965703075076,590.481943565319
"12",12,127.300734786085,162.620889164316,197.372752576082,269.491202266603,115.320097276389,63.3491200492241,165.132443874667,148.637260154061,473.080073530869,1235.09787574373,268.755080555372,208.384614639898,1043.73581276434,157.602421832177,703.703135088464,675.396219305418
"13",13,133.089911896615,182.772225892113,179.229619448035,291.885646892515,110.408018411389,59.619563469958,165.035219558416,147.986886221359,513.048148585264,1428.21724108019,304.224146264182,218.63757925403,1030.34918928092,166.333525056008,745.791214192126,671.281627574835
"14",14,114.699419928489,190.78500913518,207.706138125032,298.186118523784,105.543589598352,56.7421971811186,170.903537889838,158.932197500703,532.030092880779,1633.97230445645,307.985702447227,238.769246327897,1691.47996586005,160.746638925752,932.174576989732,904.156660885393
"15",15,109.908167650618,199.647933526399,215.308708230391,326.791316352567,96.1045230118923,49.3878354890584,181.304463465389,183.453303635052,593.199737221148,2235.99198548075,343.084941138249,260.475730318748,1676.63186879603,166.263507508199,950.048506292341,1052.76299826766
"16",16,111.528066465844,216.898627320538,186.968254600155,347.73246223108,95.0237175967448,44.4296972530536,178.440126063589,185.260465050995,663.710681943063,2778.72726840602,377.436153204414,276.309003996775,1620.97637249134,173.811234508133,1000.59667496197,1040.2436511764
"17",17,98.9444890426542,233.240525094904,232.822746754707,349.621699882929,85.3372214239505,43.6916687472328,179.670412790287,186.458699441988,687.886663322947,3050.42891915708,384.290419769641,276.614775464011,2665.75552245691,151.892301224161,1231.778782363,1231.48773735115
"18",18,95.4990071747941,244.060331714346,217.822345844841,369.873297266822,82.1705118885359,39.0317065103886,174.746827876368,213.293913773114,733.847086099534,3676.35488727261,395.254061698661,292.541260248786,2517.48936096711,157.539597065765,1220.26303673832,1497.70611519299
"19",19,92.5701454618649,247.645818544232,197.170523086424,374.757987604365,79.0726602853642,35.3223383510575,168.931372692226,217.302031587217,830.784858962223,4496.29062654688,433.443979549154,304.16478963755,2479.78415322091,167.285709026337,1467.91307420856,1634.28671090891
"20",20,85.9733593534562,250.537602465676,235.468813308771,396.173113442615,63.5784884941377,31.1270865890067,183.347605057389,216.425319727196,929.164220665521,4960.49745043648,450.629651442023,305.153312595797,3894.09322887616,153.694921232983,1494.891291284,1871.53439866581
"21",21,78.1799356186313,264.697040631963,212.091769804533,437.402546759746,73.2717029517771,31.5396186334512,168.890147234328,221.159616322447,917.726024174125,5524.10848623411,479.130431871892,324.916963264489,3811.55237048226,152.222688989004,1516.46278276637,2277.94958445382
"22",22,84.3644937565965,271.375459642349,185.986873238455,450.812325021612,61.2215261101784,29.9814132612381,173.222531737362,234.636415254247,969.335336924953,6082.40544519812,475.661461336527,339.495886515523,3987.96910249835,170.683128241388,1868.17347586109,2516.38601583694
"23",23,77.3969045882317,275.984804587795,227.375483695111,463.09940481255,45.3287010086891,24.8031149961757,178.425056246864,236.332656500384,1077.01603427669,6541.25415103766,483.044178230234,331.835816403305,4793.13298830938,147.863154966329,1941.56550319767,2756.33256598879
"24",24,72.8252974930755,277.23955462677,214.832785928754,506.173947335262,51.9997809728197,24.1401112045692,164.784540600206,232.733383475134,1171.41812909361,6937.03598128406,549.207425575535,336.150054909136,5100.18413945294,149.086364443778,1935.39800222539,3354.73395754789
"25",25,71.9967355435573,268.915299494659,200.213648825888,534.601642496691,55.6462477521071,24.4823556206656,156.656378168336,240.985285459108,1191.61234433148,7005.72688695174,583.047039977759,353.007111997933,5408.9878205408,168.638456542465,2350.56271944444,3512.79590726847
"26",26,65.3407768021862,285.166523675598,228.686116279014,520.513147250346,41.7740834615082,19.2588424889455,170.854632601757,252.071102667084,1280.32177249202,6993.94248203923,559.221798726741,354.820629499073,5819.19068377839,131.870959581634,2338.79524584475,3874.39381278111
"27",27,58.0155477331618,289.40950824647,195.921248300269,575.636181458744,44.0439419764492,18.7476223650986,152.966908820811,259.718632469933,1475.24583707218,6831.10466107566,616.862327838641,352.070503899028,6187.05934897118,128.761620189534,2377.77457870403,4633.10398931503
